,Id,Date,Long,Lat
3309194,13,2014-12-09 14:57:57.183,-0.571848333333333,44.84963
3309195,13,2014-12-09 14:57:57.269,-0.571848333333333,44.84963
3309198,13,2014-12-09 14:57:58.171,-0.571865,44.8497016666667
3309199,13,2014-12-09 14:57:58.181,-0.571865,44.8497016666667
3309202,13,2014-12-09 14:57:59.17,-0.571838333333333,44.8497383333333
3309203,13,2014-12-09 14:57:59.18,-0.571838333333333,44.8497383333333
3309206,13,2014-12-09 14:58:00.171,-0.571818333333333,44.84973
3309207,13,2014-12-09 14:58:00.184,-0.571818333333333,44.84973
3309210,13,2014-12-09 14:58:01.171,-0.571806666666667,44.8497166666667
3309211,13,2014-12-09 14:58:01.18,-0.571806666666667,44.8497166666667
3309214,13,2014-12-09 14:58:02.171,-0.571785,44.849709999999995
3309215,13,2014-12-09 14:58:02.183,-0.571785,44.849709999999995
3309218,13,2014-12-09 14:58:03.171,-0.571756666666667,44.849725
3309219,13,2014-12-09 14:58:03.183,-0.571756666666667,44.849725
3309222,13,2014-12-09 14:58:04.171,-0.571738333333333,44.8497316666667
3309223,13,2014-12-09 14:58:04.18,-0.571738333333333,44.8497316666667
3309226,13,2014-12-09 14:58:05.171,-0.571725,44.849740000000004
3309227,13,2014-12-09 14:58:05.18,-0.571725,44.849740000000004
3309230,13,2014-12-09 14:58:06.171,-0.571695,44.849745
3309231,13,2014-12-09 14:58:06.18,-0.571695,44.849745
3309234,13,2014-12-09 14:58:07.171,-0.571685,44.849741666666695
3309235,13,2014-12-09 14:58:07.18,-0.571685,44.849741666666695
3309238,13,2014-12-09 14:58:08.171,-0.571675,44.849745
3309239,13,2014-12-09 14:58:08.181,-0.571675,44.849745
3309242,13,2014-12-09 14:58:09.186,-0.571663333333333,44.8497566666667
3309243,13,2014-12-09 14:58:09.197,-0.571663333333333,44.8497566666667
3309246,13,2014-12-09 14:58:10.171,-0.571653333333333,44.849755
3309247,13,2014-12-09 14:58:10.206,-0.571653333333333,44.849755
3309250,13,2014-12-09 14:58:11.17,-0.571651666666667,44.84975
3309251,13,2014-12-09 14:58:11.18,-0.571651666666667,44.84975
3309254,13,2014-12-09 14:58:12.17,-0.571651666666667,44.849741666666695
3309255,13,2014-12-09 14:58:12.18,-0.571651666666667,44.849741666666695
3309258,13,2014-12-09 14:58:13.17,-0.571656666666667,44.849733333333305
3309259,13,2014-12-09 14:58:13.18,-0.571656666666667,44.849733333333305
3309262,13,2014-12-09 14:58:14.171,-0.571653333333333,44.849725
3309263,13,2014-12-09 14:58:14.181,-0.571653333333333,44.849725
3309266,13,2014-12-09 14:58:15.174,-0.571641666666667,44.8497266666667
3309267,13,2014-12-09 14:58:15.184,-0.571641666666667,44.8497266666667
3309270,13,2014-12-09 14:58:16.293,-0.571628333333333,44.849733333333305
3309271,13,2014-12-09 14:58:16.345,-0.571628333333333,44.849733333333305
3309274,13,2014-12-09 14:58:17.17,-0.571623333333333,44.8497366666667
3309275,13,2014-12-09 14:58:17.18,-0.571623333333333,44.8497366666667
3309278,13,2014-12-09 14:58:18.17,-0.571623333333333,44.849740000000004
3309279,13,2014-12-09 14:58:18.18,-0.571623333333333,44.849740000000004
3309282,13,2014-12-09 14:58:19.17,-0.571606666666667,44.8497583333333
3309283,13,2014-12-09 14:58:19.18,-0.571606666666667,44.8497583333333
3309286,13,2014-12-09 14:58:20.171,-0.5716100000000001,44.849759999999996
3309287,13,2014-12-09 14:58:20.18,-0.5716100000000001,44.849759999999996
3309290,13,2014-12-09 14:58:21.168,-0.571606666666667,44.8497633333333
3309291,13,2014-12-09 14:58:21.178,-0.571606666666667,44.8497633333333
3309294,13,2014-12-09 14:58:22.17,-0.5716,44.8497683333333
3309295,13,2014-12-09 14:58:22.178,-0.5716,44.8497683333333
3309298,13,2014-12-09 14:58:23.17,-0.571596666666667,44.84977
3309299,13,2014-12-09 14:58:23.18,-0.571596666666667,44.84977
3309302,13,2014-12-09 14:58:24.17,-0.571593333333333,44.8497733333333
3309303,13,2014-12-09 14:58:24.178,-0.571593333333333,44.8497733333333
3309306,13,2014-12-09 14:58:25.17,-0.571618333333333,44.849759999999996
3309307,13,2014-12-09 14:58:25.18,-0.571618333333333,44.849759999999996
3309310,13,2014-12-09 14:58:26.328,-0.571633333333333,44.849766666666696
3309311,13,2014-12-09 14:58:26.381,-0.571633333333333,44.849766666666696
3309314,13,2014-12-09 14:58:27.17,-0.571643333333333,44.8497683333333
3309315,13,2014-12-09 14:58:27.178,-0.571643333333333,44.8497683333333
3309318,13,2014-12-09 14:58:28.17,-0.5716583333333329,44.8497633333333
3309319,13,2014-12-09 14:58:28.18,-0.5716583333333329,44.8497633333333
3309322,13,2014-12-09 14:58:29.17,-0.5716616666666671,44.8497633333333
3309323,13,2014-12-09 14:58:29.18,-0.5716616666666671,44.8497633333333
3309326,13,2014-12-09 14:58:30.17,-0.571663333333333,44.8497733333333
3309327,13,2014-12-09 14:58:30.178,-0.571663333333333,44.8497733333333
3309330,13,2014-12-09 14:58:31.17,-0.571665,44.8497816666667
3309331,13,2014-12-09 14:58:31.18,-0.571665,44.8497816666667
3309334,13,2014-12-09 14:58:32.173,-0.571668333333333,44.849786666666695
3309335,13,2014-12-09 14:58:32.184,-0.571668333333333,44.849786666666695
3309338,13,2014-12-09 14:58:33.17,-0.571668333333333,44.849786666666695
3309339,13,2014-12-09 14:58:33.18,-0.571668333333333,44.849786666666695
3309342,13,2014-12-09 14:58:34.17,-0.571668333333333,44.849786666666695
3309343,13,2014-12-09 14:58:34.178,-0.571668333333333,44.849786666666695
3309346,13,2014-12-09 14:58:35.17,-0.571668333333333,44.849786666666695
3309347,13,2014-12-09 14:58:35.18,-0.571668333333333,44.849786666666695
3309350,13,2014-12-09 14:58:36.171,-0.571668333333333,44.849786666666695
3309351,13,2014-12-09 14:58:36.18,-0.571668333333333,44.849786666666695
3309354,13,2014-12-09 14:58:37.17,-0.571668333333333,44.849786666666695
3309355,13,2014-12-09 14:58:37.178,-0.571668333333333,44.849786666666695
3309358,13,2014-12-09 14:58:38.232,-0.571668333333333,44.849786666666695
3309359,13,2014-12-09 14:58:38.242,-0.571668333333333,44.849786666666695
3309362,13,2014-12-09 14:58:39.17,-0.571668333333333,44.849786666666695
3309363,13,2014-12-09 14:58:39.18,-0.571668333333333,44.849786666666695
3309366,13,2014-12-09 14:58:40.17,-0.571668333333333,44.849786666666695
3309367,13,2014-12-09 14:58:40.18,-0.571668333333333,44.849786666666695
3309370,13,2014-12-09 14:58:41.171,-0.571668333333333,44.849786666666695
3309371,13,2014-12-09 14:58:41.204,-0.571668333333333,44.849786666666695
3309374,13,2014-12-09 14:58:42.17,-0.571668333333333,44.849786666666695
3309375,13,2014-12-09 14:58:42.178,-0.571668333333333,44.849786666666695
3309378,13,2014-12-09 14:58:43.17,-0.571668333333333,44.849786666666695
3309379,13,2014-12-09 14:58:43.18,-0.571668333333333,44.849786666666695
3309382,13,2014-12-09 14:58:44.171,-0.571668333333333,44.849786666666695
3309383,13,2014-12-09 14:58:44.181,-0.571668333333333,44.849786666666695
3309386,13,2014-12-09 14:58:45.17,-0.571668333333333,44.849786666666695
3309387,13,2014-12-09 14:58:45.178,-0.571668333333333,44.849786666666695
3309390,13,2014-12-09 14:58:46.338,-0.571668333333333,44.849786666666695
3309391,13,2014-12-09 14:58:46.377,-0.571668333333333,44.849786666666695
3309394,13,2014-12-09 14:58:47.171,-0.571668333333333,44.849786666666695
3309395,13,2014-12-09 14:58:47.18,-0.571668333333333,44.849786666666695
3309398,13,2014-12-09 14:58:48.17,-0.571668333333333,44.849786666666695
3309399,13,2014-12-09 14:58:48.18,-0.571668333333333,44.849786666666695
3309402,13,2014-12-09 14:58:49.17,-0.571668333333333,44.849786666666695
3309403,13,2014-12-09 14:58:49.194,-0.571668333333333,44.849786666666695
3309406,13,2014-12-09 14:58:50.171,-0.571668333333333,44.849786666666695
3309407,13,2014-12-09 14:58:50.18,-0.571668333333333,44.849786666666695
3309410,13,2014-12-09 14:58:51.171,-0.571668333333333,44.849786666666695
3309411,13,2014-12-09 14:58:51.18,-0.571668333333333,44.849786666666695
3309414,13,2014-12-09 14:58:52.171,-0.571668333333333,44.849786666666695
3309415,13,2014-12-09 14:58:52.183,-0.571668333333333,44.849786666666695
3309418,13,2014-12-09 14:58:53.17,-0.571668333333333,44.849786666666695
3309419,13,2014-12-09 14:58:53.18,-0.571668333333333,44.849786666666695
3309422,13,2014-12-09 14:58:54.168,-0.571686666666667,44.84988
3309423,13,2014-12-09 14:58:54.178,-0.571686666666667,44.84988
3309426,13,2014-12-09 14:58:55.17,-0.571678333333333,44.849885
3309427,13,2014-12-09 14:58:55.18,-0.571678333333333,44.849885
3309430,13,2014-12-09 14:58:56.171,-0.571678333333333,44.849895000000004
3309431,13,2014-12-09 14:58:56.181,-0.571678333333333,44.849895000000004
3309434,13,2014-12-09 14:58:57.17,-0.571678333333333,44.8498983333333
3309435,13,2014-12-09 14:58:57.18,-0.571678333333333,44.8498983333333
3309438,13,2014-12-09 14:58:58.17,-0.571678333333333,44.8498983333333
3309439,13,2014-12-09 14:58:58.18,-0.571678333333333,44.8498983333333
3309442,13,2014-12-09 14:58:59.17,-0.571678333333333,44.8498983333333
3309443,13,2014-12-09 14:58:59.178,-0.571678333333333,44.8498983333333
3309446,13,2014-12-09 14:59:00.171,-0.571678333333333,44.8498983333333
3309447,13,2014-12-09 14:59:00.191,-0.571678333333333,44.8498983333333
3309450,13,2014-12-09 14:59:01.17,-0.571678333333333,44.8498983333333
3309451,13,2014-12-09 14:59:01.178,-0.571678333333333,44.8498983333333
3309454,13,2014-12-09 14:59:02.171,-0.571678333333333,44.8498983333333
3309455,13,2014-12-09 14:59:02.206,-0.571678333333333,44.8498983333333
3309458,13,2014-12-09 14:59:03.17,-0.571678333333333,44.8498983333333
3309459,13,2014-12-09 14:59:03.178,-0.571678333333333,44.8498983333333
3309462,13,2014-12-09 14:59:04.171,-0.571678333333333,44.8498983333333
3309463,13,2014-12-09 14:59:04.18,-0.571678333333333,44.8498983333333
3309466,13,2014-12-09 14:59:05.17,-0.571678333333333,44.8498983333333
3309467,13,2014-12-09 14:59:05.178,-0.571678333333333,44.8498983333333
3309470,13,2014-12-09 14:59:06.171,-0.571678333333333,44.8498983333333
3309471,13,2014-12-09 14:59:06.18,-0.571678333333333,44.8498983333333
3309474,13,2014-12-09 14:59:07.17,-0.571678333333333,44.8498983333333
3309475,13,2014-12-09 14:59:07.178,-0.571678333333333,44.8498983333333
3309478,13,2014-12-09 14:59:08.171,-0.571678333333333,44.8498983333333
3309479,13,2014-12-09 14:59:08.181,-0.571678333333333,44.8498983333333
3309482,13,2014-12-09 14:59:09.17,-0.571678333333333,44.8498983333333
3309483,13,2014-12-09 14:59:09.18,-0.571678333333333,44.8498983333333
3309486,13,2014-12-09 14:59:10.17,-0.571678333333333,44.8498983333333
3309487,13,2014-12-09 14:59:10.178,-0.571678333333333,44.8498983333333
3309490,13,2014-12-09 14:59:11.17,-0.571678333333333,44.8498983333333
3309491,13,2014-12-09 14:59:11.178,-0.571678333333333,44.8498983333333
